,0,1,2
257,DADRA AND NAGAR HAVELI,HIMACHAL PRADESH,0
258,DADRA AND NAGAR HAVELI,JAMMU AND KASHMIR,0
259,DADRA AND NAGAR HAVELI,JHARKHAND,0
260,DADRA AND NAGAR HAVELI,KARNATAKA,0
261,DADRA AND NAGAR HAVELI,KERALA,0
262,DADRA AND NAGAR HAVELI,LAKSHADWEEP,0
263,DADRA AND NAGAR HAVELI,MADHYA PRADESH,0
264,DADRA AND NAGAR HAVELI,MAHARASHTRA,0
265,DADRA AND NAGAR HAVELI,MANIPUR,0
266,DADRA AND NAGAR HAVELI,MEGHALAYA,0
267,DADRA AND NAGAR HAVELI,MIZORAM,0
268,DADRA AND NAGAR HAVELI,NAGALAND,0
269,DADRA AND NAGAR HAVELI,ODISHA,0
270,DADRA AND NAGAR HAVELI,PUDUCHERRY,0
271,DADRA AND NAGAR HAVELI,PUNJAB,0
272,DADRA AND NAGAR HAVELI,RAJASTHAN,0
273,DADRA AND NAGAR HAVELI,TAMIL NADU,0
274,DADRA AND NAGAR HAVELI,TRIPURA,0
275,DADRA AND NAGAR HAVELI,UTTAR PRADESH,0
276,DADRA AND NAGAR HAVELI,UTTARAKHAND,0
277,DADRA AND NAGAR HAVELI,WEST BENGAL,0
278,DADRA AND NAGAR HAVELI,DELHI NCT,0
279,DADRA AND NAGAR HAVELI,SIKKIM,0
280,DAMAN AND DIU,ANDAMAN AND NICOBAR ISLANDS,0
281,DAMAN AND DIU,ANDHRA PRADESH,0
282,DAMAN AND DIU,ARUNACHAL PRADESH,0
283,DAMAN AND DIU,ASSAM,0
284,DAMAN AND DIU,BIHAR,0
285,DAMAN AND DIU,CHANDIGARH,0
286,DAMAN AND DIU,CHHATTISGARH,0
287,DAMAN AND DIU,DADRA AND NAGAR HAVELI,0
288,DAMAN AND DIU,DAMAN AND DIU,0
289,DAMAN AND DIU,GOA,0
290,DAMAN AND DIU,GUJARAT,0
291,DAMAN AND DIU,HARYANA,0
292,DAMAN AND DIU,HIMACHAL PRADESH,0
293,DAMAN AND DIU,JAMMU AND KASHMIR,0
294,DAMAN AND DIU,JHARKHAND,0
295,DAMAN AND DIU,KARNATAKA,0
296,DAMAN AND DIU,KERALA,0
297,DAMAN AND DIU,LAKSHADWEEP,0
298,DAMAN AND DIU,MADHYA PRADESH,0
299,DAMAN AND DIU,MAHARASHTRA,0
300,DAMAN AND DIU,MANIPUR,0
301,DAMAN AND DIU,MEGHALAYA,0
302,DAMAN AND DIU,MIZORAM,0
303,DAMAN AND DIU,NAGALAND,0
304,DAMAN AND DIU,ODISHA,0
305,DAMAN AND DIU,PUDUCHERRY,0
306,DAMAN AND DIU,PUNJAB,0
307,DAMAN AND DIU,RAJASTHAN,0
308,DAMAN AND DIU,TAMIL NADU,0
309,DAMAN AND DIU,TRIPURA,0
310,DAMAN AND DIU,UTTAR PRADESH,0
