,From,To,Weight
302,DADRA & NAGAR HAVELI,UTTAR PRADESH,119
303,ANDAMAN & NICOBAR ISLANDS,PUNJAB,120
304,ARUNACHAL PRADESH,CHHATTISGARH,120
305,NAGALAND,SIKKIM,121
306,KERALA,SIKKIM,123
307,ARUNACHAL PRADESH,ANDHRA PRADESH,123
308,DADRA & NAGAR HAVELI,WEST BENGAL,125
309,MANIPUR,JHARKHAND,125
310,DAMAN & DIU,MADHYA PRADESH,125
311,NCT OF DELHI,MIZORAM,126
312,MIZORAM,MADHYA PRADESH,126
313,MIZORAM,UTTAR PRADESH,127
314,ANDHRA PRADESH,TRIPURA,127
315,ANDAMAN & NICOBAR ISLANDS,RAJASTHAN,128
316,TRIPURA,KERALA,129
317,KARNATAKA,MANIPUR,130
318,PUNJAB,DAMAN & DIU,130
319,CHANDIGARH,JHARKHAND,131
320,GOA,CHHATTISGARH,134
321,ANDAMAN & NICOBAR ISLANDS,HARYANA,135
322,TRIPURA,JAMMU & KASHMIR,137
323,KARNATAKA,ARUNACHAL PRADESH,138
324,MIZORAM,ANDHRA PRADESH,138
325,MADHYA PRADESH,ANDAMAN & NICOBAR ISLANDS,138
326,ANDAMAN & NICOBAR ISLANDS,ODISHA,141
327,SIKKIM,TAMIL NADU,142
328,MADHYA PRADESH,PUDUCHERRY,143
329,GOA,UTTARAKHAND,144
330,MADHYA PRADESH,ARUNACHAL PRADESH,146
331,ODISHA,TRIPURA,146
332,MIZORAM,TAMIL NADU,146
333,KARNATAKA,SIKKIM,152
334,HIMACHAL PRADESH,MEGHALAYA,152
335,CHANDIGARH,ASSAM,152
336,RAJASTHAN,MANIPUR,153
337,SIKKIM,MADHYA PRADESH,153
338,NAGALAND,GUJARAT,155
339,ANDAMAN & NICOBAR ISLANDS,JHARKHAND,156
340,ARUNACHAL PRADESH,GUJARAT,156
341,MAHARASHTRA,MANIPUR,159
342,RAJASTHAN,TRIPURA,159
343,GUJARAT,MEGHALAYA,159
344,MEGHALAYA,BIHAR,164
345,ANDAMAN & NICOBAR ISLANDS,CHHATTISGARH,167
346,ARUNACHAL PRADESH,MADHYA PRADESH,167
347,ASSAM,ANDAMAN & NICOBAR ISLANDS,168
348,MIZORAM,UTTARAKHAND,169
349,HIMACHAL PRADESH,ARUNACHAL PRADESH,170
350,MEGHALAYA,JHARKHAND,171
351,NAGALAND,ANDHRA PRADESH,171
352,WEST BENGAL,MANIPUR,172
353,NCT OF DELHI,TRIPURA,172
354,TRIPURA,JHARKHAND,172
355,RAJASTHAN,ANDAMAN & NICOBAR ISLANDS,172
356,ANDHRA PRADESH,ARUNACHAL PRADESH,173
357,ARUNACHAL PRADESH,TRIPURA,174
358,MANIPUR,BIHAR,179
359,MAHARASHTRA,TRIPURA,179
360,MEGHALAYA,ODISHA,179
361,LAKSHADWEEP,KARNATAKA,179
362,GUJARAT,ANDAMAN & NICOBAR ISLANDS,179
363,DADRA & NAGAR HAVELI,BIHAR,182
364,SIKKIM,HARYANA,185
365,ASSAM,PUDUCHERRY,185
366,MEGHALAYA,SIKKIM,187
367,GOA,JHARKHAND,189
368,MANIPUR,ODISHA,189
369,GOA,ANDAMAN & NICOBAR ISLANDS,189
370,TAMIL NADU,ARUNACHAL PRADESH,192
