From,To,Weight
Total,State - HARYANA (06),3453628
Total,State - PUNJAB (03),3555241
Odisha,State - ODISHA (21),3983612
Total,State - ODISHA (21),4294259
Kerala,State - KERALA (32),5380723
Total,State - KERALA (32),5693564
Rajasthan,State - RAJASTHAN (08),5783229
Bihar,State - BIHAR (10),6251224
Total,State - BIHAR (10),6579514
Madhya Pradesh,State - MADHYA PRADESH (23),6685861
Total,State - RAJASTHAN (08),6767960
Karnataka,State - KARNATAKA (29),7170934
Gujarat,State - GUJARAT (24),7191353
Total,State - MADHYA PRADESH (23),7591689
West Bengal,State - WEST BENGAL (19),7643237
Total,State - WEST BENGAL (19),8331752
Total,State - KARNATAKA (29),8647134
Total,State - GUJARAT (24),9106032
Tamil Nadu,State - TAMIL NADU (33),9309427
Total,State - TAMIL NADU (33),9977915
Andhra Pradesh,State - ANDHRA PRADESH (28),9988305
Total,State - ANDHRA PRADESH (28),10599362
Uttar Pradesh,State - UTTAR PRADESH (09),12128007
Total,State - UTTAR PRADESH (09),13548890
Maharashtra,State - MAHARASHTRA (27),15996425
Total,State - MAHARASHTRA (27),19644780
