From,To,Weight
Meghalaya,State - JAMMU & KASHMIR (01),89
Puducherry,State - UTTAR PRADESH (09),90
Arunachal Pradesh,State - MIZORAM (15),91
Goa,State - DADRA & NAGAR HAVELI (26),91
Mizoram,State - HARYANA (06),92
Madhya Pradesh,State - TRIPURA (16),93
Uttarakhand,State - MIZORAM (15),95
Dadra & Nagar Haveli,State - TAMIL NADU (33),96
Punjab,State - PUDUCHERRY (34),96
Puducherry,State - WEST BENGAL (19),97
Jammu & Kashmir,State - TRIPURA (16),99
Uttarakhand,State - TRIPURA (16),100
Kerala,State - TRIPURA (16),100
Tamil Nadu,State - MANIPUR (14),101
Puducherry,State - HARYANA (06),102
Karnataka,State - TRIPURA (16),102
Manipur,State - JAMMU & KASHMIR (01),103
Kerala,State - MIZORAM (15),103
Meghalaya,State - CHANDIGARH (04),104
Sikkim,State - ODISHA (21),104
Nagaland,State - JHARKHAND (20),105
Tamil Nadu,State - SIKKIM (11),106
Meghalaya,State - HIMACHAL PRADESH (02),109
Haryana,State - DAMAN & DIU (25),110
Goa,State - BIHAR (10),112
Daman & Diu,State - GOA (30),112
Gujarat,State - TRIPURA (16),113
Lakshadweep,State - PUNJAB (03),115
Dadra & Nagar Haveli,State - LAKSHADWEEP (31),115
Manipur,State - HIMACHAL PRADESH (02),116
Tripura,State - MANIPUR (14),116
Arunachal Pradesh,State - JHARKHAND (20),116
Dadra & Nagar Haveli,State - DAMAN & DIU (25),116
Sikkim,State - ANDHRA PRADESH (28),117
Dadra & Nagar Haveli,State - UTTAR PRADESH (09),119
Andaman & Nicobar Islands,State - PUNJAB (03),120
Arunachal Pradesh,State - CHHATTISGARH (22),120
Nagaland,State - SIKKIM (11),121
Kerala,State - SIKKIM (11),123
Arunachal Pradesh,State - ANDHRA PRADESH (28),123
Dadra & Nagar Haveli,State - WEST BENGAL (19),125
Manipur,State - JHARKHAND (20),125
Daman & Diu,State - MADHYA PRADESH (23),125
NCT of Delhi,State - MIZORAM (15),126
Mizoram,State - MADHYA PRADESH (23),126
Mizoram,State - UTTAR PRADESH (09),127
Andhra Pradesh,State - TRIPURA (16),127
Andaman & Nicobar Islands,State - RAJASTHAN (08),128
Tripura,State - KERALA (32),129
Karnataka,State - MANIPUR (14),130
Punjab,State - DAMAN & DIU (25),130
Chandigarh,State - JHARKHAND (20),131
Goa,State - CHHATTISGARH (22),134
Andaman & Nicobar Islands,State - HARYANA (06),135
Tripura,State - JAMMU & KASHMIR (01),137
Karnataka,State - ARUNACHAL PRADESH (12),138
Mizoram,State - ANDHRA PRADESH (28),138
Madhya Pradesh,State - ANDAMAN & NICOBAR ISLANDS (35),138
Andaman & Nicobar Islands,State - ODISHA (21),141
Sikkim,State - TAMIL NADU (33),142
Madhya Pradesh,State - PUDUCHERRY (34),143
Goa,State - UTTARAKHAND (05),144
Madhya Pradesh,State - ARUNACHAL PRADESH (12),146
Odisha,State - TRIPURA (16),146
Mizoram,State - TAMIL NADU (33),146
Karnataka,State - SIKKIM (11),152
Himachal Pradesh,State - MEGHALAYA (17),152
Chandigarh,State - ASSAM (18),152
Rajasthan,State - MANIPUR (14),153
Sikkim,State - MADHYA PRADESH (23),153
Nagaland,State - GUJARAT (24),155
Andaman & Nicobar Islands,State - JHARKHAND (20),156
Arunachal Pradesh,State - GUJARAT (24),156
Maharashtra,State - MANIPUR (14),159
Rajasthan,State - TRIPURA (16),159
Gujarat,State - MEGHALAYA (17),159
Meghalaya,State - BIHAR (10),164
Andaman & Nicobar Islands,State - CHHATTISGARH (22),167
Arunachal Pradesh,State - MADHYA PRADESH (23),167
Assam,State - ANDAMAN & NICOBAR ISLANDS (35),168
Mizoram,State - UTTARAKHAND (05),169
Himachal Pradesh,State - ARUNACHAL PRADESH (12),170
Meghalaya,State - JHARKHAND (20),171
Nagaland,State - ANDHRA PRADESH (28),171
West Bengal,State - MANIPUR (14),172
NCT of Delhi,State - TRIPURA (16),172
Tripura,State - JHARKHAND (20),172
Rajasthan,State - ANDAMAN & NICOBAR ISLANDS (35),172
Andhra Pradesh,State - ARUNACHAL PRADESH (12),173
Arunachal Pradesh,State - TRIPURA (16),174
Manipur,State - BIHAR (10),179
Maharashtra,State - TRIPURA (16),179
Meghalaya,State - ODISHA (21),179
Lakshadweep,State - KARNATAKA (29),179
Gujarat,State - ANDAMAN & NICOBAR ISLANDS (35),179
Dadra & Nagar Haveli,State - BIHAR (10),182
Sikkim,State - HARYANA (06),185
Assam,State - PUDUCHERRY (34),185
Meghalaya,State - SIKKIM (11),187
Goa,State - JHARKHAND (20),189
Manipur,State - ODISHA (21),189
Goa,State - ANDAMAN & NICOBAR ISLANDS (35),189
Tamil Nadu,State - ARUNACHAL PRADESH (12),192
Tamil Nadu,State - TRIPURA (16),192
Sikkim,State - PUNJAB (03),193
Nagaland,State - MADHYA PRADESH (23),194
Punjab,State - SIKKIM (11),196
Chandigarh,State - CHHATTISGARH (22),198
Chandigarh,State - BIHAR (10),201
Sikkim,State - BIHAR (10),201
Tripura,State - ANDHRA PRADESH (28),201
Manipur,State - GOA (30),202
Sikkim,State - RAJASTHAN (08),204
Madhya Pradesh,State - NAGALAND (13),204
Maharashtra,State - SIKKIM (11),206
Lakshadweep,State - MAHARASHTRA (27),206
Himachal Pradesh,State - GOA (30),207
Punjab,State - ANDAMAN & NICOBAR ISLANDS (35),209
Andaman & Nicobar Islands,State - UTTAR PRADESH (09),210
Chandigarh,State - ODISHA (21),211
Haryana,State - DADRA & NAGAR HAVELI (26),213
Puducherry,State - GUJARAT (24),214
Haryana,State - ANDAMAN & NICOBAR ISLANDS (35),214
Jammu & Kashmir,State - ARUNACHAL PRADESH (12),220
Jammu & Kashmir,State - NAGALAND (13),220
Mizoram,State - ARUNACHAL PRADESH (12),225
Arunachal Pradesh,State - BIHAR (10),226
Haryana,State - SIKKIM (11),227
Meghalaya,State - KERALA (32),231
Punjab,State - ARUNACHAL PRADESH (12),232
Punjab,State - DADRA & NAGAR HAVELI (26),232
Tamil Nadu,State - NAGALAND (13),235
Tamil Nadu,State - MEGHALAYA (17),236
Sikkim,State - ASSAM (18),237
Arunachal Pradesh,State - PUNJAB (03),238
Haryana,State - ARUNACHAL PRADESH (12),238
Himachal Pradesh,State - NAGALAND (13),239
Chhattisgarh,State - ASSAM (18),239
Arunachal Pradesh,State - HARYANA (06),240
Uttarakhand,State - ARUNACHAL PRADESH (12),240
Goa,State - WEST BENGAL (19),242
Nagaland,State - MIZORAM (15),245
Mizoram,State - PUNJAB (03),246
Puducherry,State - NCT OF DELHI (07),246
Uttarakhand,State - SIKKIM (11),246
Andaman & Nicobar Islands,State - GUJARAT (24),246
Goa,State - PUNJAB (03),248
NCT of Delhi,State - ARUNACHAL PRADESH (12),248
Tripura,State - ODISHA (21),248
Arunachal Pradesh,State - RAJASTHAN (08),250
Chandigarh,State - KERALA (32),250
Tripura,State - MADHYA PRADESH (23),252
Himachal Pradesh,State - KERALA (32),252
Tripura,State - TAMIL NADU (33),252
Rajasthan,State - SIKKIM (11),255
Tripura,State - PUNJAB (03),256
Uttar Pradesh,State - MANIPUR (14),258
Chhattisgarh,State - DADRA & NAGAR HAVELI (26),259
Tamil Nadu,State - DAMAN & DIU (25),262
Mizoram,State - NAGALAND (13),263
Andaman & Nicobar Islands,State - GOA (30),263
Andhra Pradesh,State - NAGALAND (13),264
Meghalaya,State - MADHYA PRADESH (23),273
Chhattisgarh,State - DAMAN & DIU (25),273
Nagaland,State - HARYANA (06),275
Sikkim,State - UTTAR PRADESH (09),275
Andhra Pradesh,State - DAMAN & DIU (25),281
Maharashtra,State - ARUNACHAL PRADESH (12),286
Tamil Nadu,State - LAKSHADWEEP (31),286
Goa,State - ODISHA (21),288
Tripura,State - UTTAR PRADESH (09),289
Haryana,State - MEGHALAYA (17),291
West Bengal,State - MIZORAM (15),292
Tripura,State - UTTARAKHAND (05),295
Himachal Pradesh,State - ASSAM (18),295
Uttar Pradesh,State - MIZORAM (15),296
Meghalaya,State - ANDHRA PRADESH (28),296
Arunachal Pradesh,State - ODISHA (21),300
Nagaland,State - TAMIL NADU (33),300
Mizoram,State - RAJASTHAN (08),304
Andhra Pradesh,State - MEGHALAYA (17),304
Meghalaya,State - HARYANA (06),305
Arunachal Pradesh,State - TAMIL NADU (33),306
Haryana,State - NAGALAND (13),307
Nagaland,State - ODISHA (21),307
Nagaland,State - BIHAR (10),311
Meghalaya,State - PUNJAB (03),313
Jharkhand,State - MEGHALAYA (17),313
Lakshadweep,State - UTTAR PRADESH (09),316
Himachal Pradesh,State - SIKKIM (11),317
Punjab,State - NAGALAND (13),318
Uttarakhand,State - DAMAN & DIU (25),318
Madhya Pradesh,State - MEGHALAYA (17),319
NCT of Delhi,State - ANDAMAN & NICOBAR ISLANDS (35),323
Manipur,State - TRIPURA (16),324
NCT of Delhi,State - SIKKIM (11),329
Odisha,State - MEGHALAYA (17),331
NCT of Delhi,State - DAMAN & DIU (25),335
Andhra Pradesh,State - SIKKIM (11),336
Mizoram,State - MANIPUR (14),336
Karnataka,State - ANDAMAN & NICOBAR ISLANDS (35),336
Jammu & Kashmir,State - MEGHALAYA (17),344
Mizoram,State - MAHARASHTRA (27),344
Chandigarh,State - JAMMU & KASHMIR (01),346
Bihar,State - PUDUCHERRY (34),347
Tripura,State - ARUNACHAL PRADESH (12),349
Nagaland,State - TRIPURA (16),349
Goa,State - RAJASTHAN (08),353
Nagaland,State - PUNJAB (03),356
Nagaland,State - UTTARAKHAND (05),358
Sikkim,State - UTTARAKHAND (05),360
Sikkim,State - MAHARASHTRA (27),360
Mizoram,State - KARNATAKA (29),360
Karnataka,State - MEGHALAYA (17),364
Mizoram,State - WEST BENGAL (19),367
Arunachal Pradesh,State - KERALA (32),369
Himachal Pradesh,State - ODISHA (21),372
Manipur,State - GUJARAT (24),376
Himachal Pradesh,State - TAMIL NADU (33),377
Chhattisgarh,State - ANDAMAN & NICOBAR ISLANDS (35),377
Meghalaya,State - UTTARAKHAND (05),382
Kerala,State - CHANDIGARH (04),385
Madhya Pradesh,State - SIKKIM (11),389
Nagaland,State - RAJASTHAN (08),390
Manipur,State - KERALA (32),390
Meghalaya,State - GUJARAT (24),392
Goa,State - HARYANA (06),396
Tripura,State - RAJASTHAN (08),398
Maharashtra,State - NAGALAND (13),398
Karnataka,State - DAMAN & DIU (25),400
Meghalaya,State - TAMIL NADU (33),401
Tripura,State - GUJARAT (24),402
Tamil Nadu,State - DADRA & NAGAR HAVELI (26),407
Andaman & Nicobar Islands,State - NCT OF DELHI (07),408
Chandigarh,State - MADHYA PRADESH (23),409
Manipur,State - RAJASTHAN (08),410
Arunachal Pradesh,State - SIKKIM (11),410
Karnataka,State - NAGALAND (13),417
Jammu & Kashmir,State - GOA (30),418
Manipur,State - SIKKIM (11),419
Punjab,State - MEGHALAYA (17),425
Manipur,State - MADHYA PRADESH (23),431
NCT of Delhi,State - MANIPUR (14),436
Lakshadweep,State - BIHAR (10),438
Goa,State - MADHYA PRADESH (23),438
Uttarakhand,State - GOA (30),442
Chandigarh,State - WEST BENGAL (19),443
Manipur,State - CHANDIGARH (04),445
Goa,State - UTTAR PRADESH (09),449
Manipur,State - HARYANA (06),450
Meghalaya,State - MANIPUR (14),450
Nagaland,State - UTTAR PRADESH (09),452
Kerala,State - HIMACHAL PRADESH (02),454
NCT of Delhi,State - DADRA & NAGAR HAVELI (26),455
Meghalaya,State - TRIPURA (16),458
Tamil Nadu,State - HIMACHAL PRADESH (02),460
Uttarakhand,State - DADRA & NAGAR HAVELI (26),463
NCT of Delhi,State - PUDUCHERRY (34),466
Kerala,State - DAMAN & DIU (25),468
Odisha,State - SIKKIM (11),470
Meghalaya,State - ARUNACHAL PRADESH (12),471
Mizoram,State - NCT OF DELHI (07),476
West Bengal,State - PUDUCHERRY (34),480
Maharashtra,State - LAKSHADWEEP (31),481
Odisha,State - NAGALAND (13),490
Kerala,State - MEGHALAYA (17),490
Maharashtra,State - MEGHALAYA (17),492
Uttarakhand,State - ODISHA (21),494
Uttarakhand,State - KERALA (32),506
Arunachal Pradesh,State - UTTAR PRADESH (09),508
Uttar Pradesh,State - PUDUCHERRY (34),511
Odisha,State - ANDAMAN & NICOBAR ISLANDS (35),515
Jharkhand,State - MIZORAM (15),520
Punjab,State - GOA (30),522
Rajasthan,State - PUDUCHERRY (34),522
Jammu & Kashmir,State - ASSAM (18),523
Arunachal Pradesh,State - MAHARASHTRA (27),530
Andhra Pradesh,State - DADRA & NAGAR HAVELI (26),532
Nagaland,State - KERALA (32),532
Manipur,State - PUNJAB (03),538
Kerala,State - ARUNACHAL PRADESH (12),558
Kerala,State - NAGALAND (13),566
Chandigarh,State - TAMIL NADU (33),569
Sikkim,State - NCT OF DELHI (07),576
Goa,State - NCT OF DELHI (07),581
Sikkim,State - HIMACHAL PRADESH (02),584
Bihar,State - MIZORAM (15),601
Uttarakhand,State - TAMIL NADU (33),603
Uttarakhand,State - ASSAM (18),605
Karnataka,State - ASSAM (18),607
Uttarakhand,State - BIHAR (10),609
Uttarakhand,State - NAGALAND (13),620
Arunachal Pradesh,State - NAGALAND (13),620
Kerala,State - BIHAR (10),621
Meghalaya,State - UTTAR PRADESH (09),628
Jharkhand,State - ARUNACHAL PRADESH (12),628
Daman & Diu,State - DADRA & NAGAR HAVELI (26),629
Manipur,State - UTTARAKHAND (05),631
Jharkhand,State - NAGALAND (13),636
Himachal Pradesh,State - ANDHRA PRADESH (28),644
Karnataka,State - DADRA & NAGAR HAVELI (26),647
Bihar,State - ANDAMAN & NICOBAR ISLANDS (35),651
Haryana,State - GOA (30),654
Gujarat,State - JAMMU & KASHMIR (01),658
Puducherry,State - MAHARASHTRA (27),658
Arunachal Pradesh,State - MEGHALAYA (17),661
Karnataka,State - JAMMU & KASHMIR (01),665
Chandigarh,State - ANDHRA PRADESH (28),666
Kerala,State - JAMMU & KASHMIR (01),674
Tamil Nadu,State - ASSAM (18),683
Jammu & Kashmir,State - SIKKIM (11),687
Arunachal Pradesh,State - HIMACHAL PRADESH (02),695
Uttarakhand,State - MEGHALAYA (17),695
Nagaland,State - MANIPUR (14),703
Andaman & Nicobar Islands,State - KARNATAKA (29),706
Rajasthan,State - MEGHALAYA (17),707
Himachal Pradesh,State - JHARKHAND (20),707
Tamil Nadu,State - JAMMU & KASHMIR (01),711
Kerala,State - ASSAM (18),717
Chhattisgarh,State - CHANDIGARH (04),735
Rajasthan,State - ARUNACHAL PRADESH (12),736
Chhattisgarh,State - GOA (30),749
Odisha,State - ARUNACHAL PRADESH (12),762
Uttarakhand,State - JHARKHAND (20),762
Gujarat,State - PUDUCHERRY (34),770
Nagaland,State - ARUNACHAL PRADESH (12),779
Meghalaya,State - MIZORAM (15),781
Manipur,State - UTTAR PRADESH (09),790
Kerala,State - DADRA & NAGAR HAVELI (26),800
Tamil Nadu,State - BIHAR (10),802
