ANDHRA PRADESH,BIHAR,75
PUNJAB,DADRA & NAGAR HAVELI,78
TRIPURA,PUNJAB,77
HARYANA,MEGHALAYA,79
KARNATAKA,ASSAM,79
HIMACHAL PRADESH,ODISHA,79
CHHATTISGARH,ANDAMAN & NICOBAR ISLANDS,79
HARYANA,SIKKIM,78
MEGHALAYA,UTTAR PRADESH,80
WEST BENGAL,PUDUCHERRY,80
KARNATAKA,CHANDIGARH,79
NAGALAND,PUNJAB,80
HARYANA,ANDAMAN & NICOBAR ISLANDS,82
ANDAMAN & NICOBAR ISLANDS,NCT OF DELHI,81
GOA,GUJARAT,83
BIHAR,PUDUCHERRY,82
JAMMU & KASHMIR,ODISHA,83
GUJARAT,BIHAR,85
KARNATAKA,BIHAR,85
SIKKIM,KARNATAKA,85
UTTARAKHAND,TAMIL NADU,84
ARUNACHAL PRADESH,HARYANA,85
ANDHRA PRADESH,NAGALAND,87
NAGALAND,ARUNACHAL PRADESH,88
HIMACHAL PRADESH,TAMIL NADU,90
GOA,TAMIL NADU,89
MIZORAM,PUNJAB,90
ANDHRA PRADESH,MEGHALAYA,92
MANIPUR,GUJARAT,91
MEGHALAYA,MIZORAM,92
MANIPUR,KERALA,94
UTTARAKHAND,BIHAR,93
HARYANA,DADRA & NAGAR HAVELI,95
TAMIL NADU,DAMAN & DIU,94
PUDUCHERRY,MAHARASHTRA,97
JHARKHAND,ARUNACHAL PRADESH,95
HIMACHAL PRADESH,GOA,98
CHANDIGARH,GUJARAT,97
HIMACHAL PRADESH,NAGALAND,99
TRIPURA,MADHYA PRADESH,99
MADHYA PRADESH,MEGHALAYA,98
MANIPUR,RAJASTHAN,99
ARUNACHAL PRADESH,UTTARAKHAND,102
DAMAN & DIU,DADRA & NAGAR HAVELI,101
KERALA,HIMACHAL PRADESH,102
PUNJAB,MEGHALAYA,104
DADRA & NAGAR HAVELI,MAHARASHTRA,104
NCT OF DELHI,DAMAN & DIU,103
TRIPURA,ARUNACHAL PRADESH,108
MEGHALAYA,NAGALAND,108
JAMMU & KASHMIR,NAGALAND,104
TRIPURA,HARYANA,108
GOA,KERALA,110
TAMIL NADU,ASSAM,109
NAGALAND,KERALA,111
UTTARAKHAND,ASSAM,110
MAHARASHTRA,MEGHALAYA,111
MAHARASHTRA,ASSAM,113
MADHYA PRADESH,ASSAM,114
UTTAR PRADESH,MIZORAM,115
MIZORAM,NCT OF DELHI,118
JHARKHAND,NAGALAND,117
KERALA,CHANDIGARH,118
ODISHA,MEGHALAYA,124
GUJARAT,HIMACHAL PRADESH,123
TAMIL NADU,DADRA & NAGAR HAVELI,127
CHANDIGARH,HIMACHAL PRADESH,124
ANDAMAN & NICOBAR ISLANDS,WEST BENGAL,129
ODISHA,SIKKIM,127
MANIPUR,UTTARAKHAND,129
DAMAN & DIU,MAHARASHTRA,130
PUNJAB,GOA,131
UTTARAKHAND,KERALA,133
MANIPUR,MADHYA PRADESH,132
MANIPUR,TAMIL NADU,134
CHANDIGARH,UTTAR PRADESH,133
ANDHRA PRADESH,DAMAN & DIU,134
PUNJAB,NAGALAND,135
UTTAR PRADESH,MANIPUR,136
